"TIME","GEO","SEX","AGE","ISCED11","UNIT","Value","Flag and Footnotes"
"2005","Euro area (19 countries)","Males","From 15 to 74 years","All ISCED 2011 levels ","Percentage","8.1","b"
"2005","Euro area (19 countries)","Males","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","10.5","b"
"2005","Euro area (19 countries)","Males","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","8.2","b"
"2005","Euro area (19 countries)","Males","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","4.9","b"
"2005","Euro area (19 countries)","Males","From 15 to 74 years","No response","Percentage",":","bu"
"2005","Euro area (19 countries)","Females","From 15 to 74 years","All ISCED 2011 levels ","Percentage","10.0","b"
"2005","Euro area (19 countries)","Females","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","14.0","b"
"2005","Euro area (19 countries)","Females","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","9.9","b"
"2005","Euro area (19 countries)","Females","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","6.3","b"
"2005","Euro area (19 countries)","Females","From 15 to 74 years","No response","Percentage",":","bu"
"2005","Euro area (18 countries)","Total","From 15 to 74 years","All ISCED 2011 levels ","Percentage","9.0","b"
"2005","Euro area (18 countries)","Total","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","11.9","b"
"2005","Euro area (18 countries)","Total","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","8.9","b"
"2005","Euro area (18 countries)","Total","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","5.6","b"
"2005","Euro area (18 countries)","Total","From 15 to 74 years","No response","Percentage","7.9","bu"
"2005","Euro area (18 countries)","Males","From 15 to 74 years","All ISCED 2011 levels ","Percentage","8.1","b"
"2005","Euro area (18 countries)","Males","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","10.4","b"
"2005","Euro area (18 countries)","Males","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","8.1","b"
"2005","Euro area (18 countries)","Males","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","4.9","b"
"2005","Euro area (18 countries)","Males","From 15 to 74 years","No response","Percentage",":","bu"
"2005","Euro area (18 countries)","Females","From 15 to 74 years","All ISCED 2011 levels ","Percentage","10.1","b"
"2005","Euro area (18 countries)","Females","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","14.0","b"
"2005","Euro area (18 countries)","Females","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","9.8","b"
"2005","Euro area (18 countries)","Females","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","6.3","b"
"2005","Euro area (18 countries)","Females","From 15 to 74 years","No response","Percentage",":","bu"
"2005","Euro area (17 countries)","Total","From 15 to 74 years","All ISCED 2011 levels ","Percentage","9.0","b"
"2005","Euro area (17 countries)","Total","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","11.8","b"
"2005","Euro area (17 countries)","Total","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","8.9","b"
"2005","Euro area (17 countries)","Total","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","5.6","b"
"2005","Euro area (17 countries)","Total","From 15 to 74 years","No response","Percentage","7.9","bu"
"2005","Euro area (17 countries)","Males","From 15 to 74 years","All ISCED 2011 levels ","Percentage","8.1","b"
"2005","Euro area (17 countries)","Males","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","10.4","b"
"2005","Euro area (17 countries)","Males","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","8.1","b"
"2005","Euro area (17 countries)","Males","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","4.9","b"
"2005","Euro area (17 countries)","Males","From 15 to 74 years","No response","Percentage",":","bu"
"2005","Euro area (17 countries)","Females","From 15 to 74 years","All ISCED 2011 levels ","Percentage","10.1","b"
"2005","Euro area (17 countries)","Females","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","13.9","b"
"2005","Euro area (17 countries)","Females","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","9.8","b"
"2005","Euro area (17 countries)","Females","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","6.3","b"
"2005","Euro area (17 countries)","Females","From 15 to 74 years","No response","Percentage",":","bu"
"2005","Belgium","Total","From 15 to 74 years","All ISCED 2011 levels ","Percentage","8.5","b"
"2005","Belgium","Total","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","13.9","b"
"2005","Belgium","Total","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","8.5","b"
"2005","Belgium","Total","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","4.4","b"
"2005","Belgium","Total","From 15 to 74 years","No response","Percentage",":","b"
"2005","Belgium","Males","From 15 to 74 years","All ISCED 2011 levels ","Percentage","7.6","b"
"2005","Belgium","Males","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","12.0","b"
"2005","Belgium","Males","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","7.1","b"
"2005","Belgium","Males","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","4.3","b"
"2005","Belgium","Males","From 15 to 74 years","No response","Percentage",":","b"
"2005","Belgium","Females","From 15 to 74 years","All ISCED 2011 levels ","Percentage","9.5","b"
"2005","Belgium","Females","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","17.2","b"
"2005","Belgium","Females","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","10.4","b"
"2005","Belgium","Females","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","4.6","b"
"2005","Belgium","Females","From 15 to 74 years","No response","Percentage",":","b"
"2005","Bulgaria","Total","From 15 to 74 years","All ISCED 2011 levels ","Percentage","10.1","b"
"2005","Bulgaria","Total","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","19.6","b"
"2005","Bulgaria","Total","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","9.2","b"
"2005","Bulgaria","Total","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","4.3","b"
"2005","Bulgaria","Total","From 15 to 74 years","No response","Percentage",":",""
"2005","Bulgaria","Males","From 15 to 74 years","All ISCED 2011 levels ","Percentage","10.3","b"
"2005","Bulgaria","Males","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","18.9","b"
"2005","Bulgaria","Males","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","9.0","b"
"2005","Bulgaria","Males","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","4.4","b"
"2005","Bulgaria","Males","From 15 to 74 years","No response","Percentage",":",""
"2005","Bulgaria","Females","From 15 to 74 years","All ISCED 2011 levels ","Percentage","9.8","b"
"2005","Bulgaria","Females","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","20.4","b"
"2005","Bulgaria","Females","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","9.6","b"
"2005","Bulgaria","Females","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","4.2","b"
"2005","Bulgaria","Females","From 15 to 74 years","No response","Percentage",":",""
"2005","Czech Republic","Total","From 15 to 74 years","All ISCED 2011 levels ","Percentage","7.9","b"
"2005","Czech Republic","Total","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","26.8","b"
"2005","Czech Republic","Total","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","7.2","b"
"2005","Czech Republic","Total","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","2.3","b"
"2005","Czech Republic","Total","From 15 to 74 years","No response","Percentage",":","b"
"2005","Czech Republic","Males","From 15 to 74 years","All ISCED 2011 levels ","Percentage","6.5","b"
"2005","Czech Republic","Males","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","30.0","b"
"2005","Czech Republic","Males","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","5.7","b"
"2005","Czech Republic","Males","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","2.1","b"
"2005","Czech Republic","Males","From 15 to 74 years","No response","Percentage",":","b"
"2005","Czech Republic","Females","From 15 to 74 years","All ISCED 2011 levels ","Percentage","9.8","b"
"2005","Czech Republic","Females","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","24.5","b"
"2005","Czech Republic","Females","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","9.2","b"
"2005","Czech Republic","Females","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","2.7","b"
"2005","Czech Republic","Females","From 15 to 74 years","No response","Percentage",":","b"
"2005","Denmark","Total","From 15 to 74 years","All ISCED 2011 levels ","Percentage","4.8","b"
"2005","Denmark","Total","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","7.4","b"
"2005","Denmark","Total","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","4.5","b"
"2005","Denmark","Total","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","3.7","b"
"2005","Denmark","Total","From 15 to 74 years","No response","Percentage",":","bu"
"2005","Denmark","Males","From 15 to 74 years","All ISCED 2011 levels ","Percentage","4.4","b"
"2005","Denmark","Males","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","7.3","b"
"2005","Denmark","Males","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","3.7","b"
"2005","Denmark","Males","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","3.5","b"
"2005","Denmark","Males","From 15 to 74 years","No response","Percentage",":","bu"
"2005","Denmark","Females","From 15 to 74 years","All ISCED 2011 levels ","Percentage","5.3","b"
"2005","Denmark","Females","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","7.5","b"
"2005","Denmark","Females","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","5.4","b"
"2005","Denmark","Females","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","3.8","b"
"2005","Denmark","Females","From 15 to 74 years","No response","Percentage",":","bu"
"2005","Germany (until 1990 former territory of the FRG)","Total","From 15 to 74 years","All ISCED 2011 levels ","Percentage","11.2","b"
"2005","Germany (until 1990 former territory of the FRG)","Total","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","19.2","b"
"2005","Germany (until 1990 former territory of the FRG)","Total","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","11.1","b"
"2005","Germany (until 1990 former territory of the FRG)","Total","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","5.5","b"
"2005","Germany (until 1990 former territory of the FRG)","Total","From 15 to 74 years","No response","Percentage",":","bu"
"2005","Germany (until 1990 former territory of the FRG)","Males","From 15 to 74 years","All ISCED 2011 levels ","Percentage","11.4","b"
"2005","Germany (until 1990 former territory of the FRG)","Males","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","20.9","b"
"2005","Germany (until 1990 former territory of the FRG)","Males","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","11.6","b"
"2005","Germany (until 1990 former territory of the FRG)","Males","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","5.2","b"
"2005","Germany (until 1990 former territory of the FRG)","Males","From 15 to 74 years","No response","Percentage",":","bu"
"2005","Germany (until 1990 former territory of the FRG)","Females","From 15 to 74 years","All ISCED 2011 levels ","Percentage","10.9","b"
"2005","Germany (until 1990 former territory of the FRG)","Females","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","17.3","b"
"2005","Germany (until 1990 former territory of the FRG)","Females","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","10.6","b"
"2005","Germany (until 1990 former territory of the FRG)","Females","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","6.0","b"
"2005","Germany (until 1990 former territory of the FRG)","Females","From 15 to 74 years","No response","Percentage",":","bu"
"2005","Estonia","Total","From 15 to 74 years","All ISCED 2011 levels ","Percentage","8.0","b"
"2005","Estonia","Total","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","14.5","b"
"2005","Estonia","Total","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","9.3","b"
"2005","Estonia","Total","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","4.1","b"
"2005","Estonia","Total","From 15 to 74 years","No response","Percentage",":","b"
"2005","Estonia","Males","From 15 to 74 years","All ISCED 2011 levels ","Percentage","9.2","b"
"2005","Estonia","Males","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","16.7","b"
"2005","Estonia","Males","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","9.8","b"
"2005","Estonia","Males","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","4.4","b"
"2005","Estonia","Males","From 15 to 74 years","No response","Percentage",":","b"
"2005","Estonia","Females","From 15 to 74 years","All ISCED 2011 levels ","Percentage","6.9","b"
"2005","Estonia","Females","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","11.0","bu"
"2005","Estonia","Females","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","8.6","b"
"2005","Estonia","Females","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","4.0","b"
"2005","Estonia","Females","From 15 to 74 years","No response","Percentage",":","b"
"2005","Ireland","Total","From 15 to 74 years","All ISCED 2011 levels ","Percentage","4.4","b"
"2005","Ireland","Total","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","7.1","b"
"2005","Ireland","Total","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","3.9","b"
"2005","Ireland","Total","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","2.5","b"
"2005","Ireland","Total","From 15 to 74 years","No response","Percentage","4.6","bu"
"2005","Ireland","Males","From 15 to 74 years","All ISCED 2011 levels ","Percentage","4.6","b"
"2005","Ireland","Males","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","7.3","b"
"2005","Ireland","Males","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","3.7","b"
"2005","Ireland","Males","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","2.4","b"
"2005","Ireland","Males","From 15 to 74 years","No response","Percentage",":","bu"
"2005","Ireland","Females","From 15 to 74 years","All ISCED 2011 levels ","Percentage","4.0","b"
"2005","Ireland","Females","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","6.7","b"
"2005","Ireland","Females","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","4.0","b"
"2005","Ireland","Females","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","2.5","b"
"2005","Ireland","Females","From 15 to 74 years","No response","Percentage",":","bu"
"2005","Greece","Total","From 15 to 74 years","All ISCED 2011 levels ","Percentage","10.0","b"
"2005","Greece","Total","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","8.9","b"
"2005","Greece","Total","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","12.0","b"
"2005","Greece","Total","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","8.0","b"
"2005","Greece","Total","From 15 to 74 years","No response","Percentage",":",""
"2005","Greece","Males","From 15 to 74 years","All ISCED 2011 levels ","Percentage","6.2","b"
"2005","Greece","Males","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","6.0","b"
"2005","Greece","Males","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","7.3","b"
"2005","Greece","Males","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","4.6","b"
"2005","Greece","Males","From 15 to 74 years","No response","Percentage",":",""
"2005","Greece","Females","From 15 to 74 years","All ISCED 2011 levels ","Percentage","15.4","b"
"2005","Greece","Females","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","14.3","b"
"2005","Greece","Females","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","18.4","b"
"2005","Greece","Females","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","11.7","b"
"2005","Greece","Females","From 15 to 74 years","No response","Percentage",":",""
"2005","Spain","Total","From 15 to 74 years","All ISCED 2011 levels ","Percentage","9.2","b"
"2005","Spain","Total","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","11.1","b"
"2005","Spain","Total","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","8.7","b"
"2005","Spain","Total","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","6.7","b"
"2005","Spain","Total","From 15 to 74 years","No response","Percentage",":","b"
"2005","Spain","Males","From 15 to 74 years","All ISCED 2011 levels ","Percentage","7.1","b"
"2005","Spain","Males","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","8.4","b"
"2005","Spain","Males","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","6.4","b"
"2005","Spain","Males","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","5.4","b"
"2005","Spain","Males","From 15 to 74 years","No response","Percentage",":","b"
"2005","Spain","Females","From 15 to 74 years","All ISCED 2011 levels ","Percentage","12.0","b"
"2005","Spain","Females","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","15.9","b"
"2005","Spain","Females","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","11.6","b"
"2005","Spain","Females","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","8.2","b"
"2005","Spain","Females","From 15 to 74 years","No response","Percentage",":","b"
"2005","France","Total","From 15 to 74 years","All ISCED 2011 levels ","Percentage","8.5","b"
"2005","France","Total","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","12.3","b"
"2005","France","Total","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","7.7","b"
"2005","France","Total","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","5.9","b"
"2005","France","Total","From 15 to 74 years","No response","Percentage",":","bu"
"2005","France","Males","From 15 to 74 years","All ISCED 2011 levels ","Percentage","7.8","b"
"2005","France","Males","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","11.8","b"
"2005","France","Males","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","6.5","b"
"2005","France","Males","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","5.7","b"
"2005","France","Males","From 15 to 74 years","No response","Percentage",":","b"
"2005","France","Females","From 15 to 74 years","All ISCED 2011 levels ","Percentage","9.3","b"
"2005","France","Females","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","13.0","b"
"2005","France","Females","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","9.2","b"
"2005","France","Females","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","6.1","b"
"2005","France","Females","From 15 to 74 years","No response","Percentage",":","bu"
"2005","Croatia","Total","From 15 to 74 years","All ISCED 2011 levels ","Percentage","12.7","b"
"2005","Croatia","Total","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","11.5","b"
"2005","Croatia","Total","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","14.9","b"
"2005","Croatia","Total","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","6.3","bu"
"2005","Croatia","Total","From 15 to 74 years","No response","Percentage",":",""
"2005","Croatia","Males","From 15 to 74 years","All ISCED 2011 levels ","Percentage","11.6","b"
"2005","Croatia","Males","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","11.9","bu"
"2005","Croatia","Males","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","12.8","b"
"2005","Croatia","Males","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","6.1","bu"
"2005","Croatia","Males","From 15 to 74 years","No response","Percentage",":",""
"2005","Croatia","Females","From 15 to 74 years","All ISCED 2011 levels ","Percentage","13.9","b"
"2005","Croatia","Females","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","11.1","b"
"2005","Croatia","Females","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","17.7","b"
"2005","Croatia","Females","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","6.5","bu"
"2005","Croatia","Females","From 15 to 74 years","No response","Percentage",":",""
"2005","Italy","Total","From 15 to 74 years","All ISCED 2011 levels ","Percentage","7.7","b"
"2005","Italy","Total","From 15 to 74 years","Less than primary, primary and lower secondary education (levels 0-2)","Percentage","9.1","b"
"2005","Italy","Total","From 15 to 74 years","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","Percentage","7.0","b"
"2005","Italy","Total","From 15 to 74 years","Tertiary education (levels 5-8)","Percentage","6.1","b"
"2005","Italy","Total","From 15 to 74 years","No response","Percentage",":",""
